iter	Passed	Remaining
398	1794	2702
399	1795	2693
400	1797	2685
401	1799	2676
402	1800	2667
403	1802	2659
404	1804	2650
405	1805	2641
406	1807	2633
407	1809	2625
408	1811	2617
409	1812	2608
410	1814	2599
411	1815	2591
412	1817	2583
413	1818	2574
414	1820	2566
415	1822	2558
416	1824	2550
417	1825	2542
418	1827	2534
419	1829	2526
420	1830	2518
421	1832	2509
422	1834	2501
423	1835	2493
424	1837	2485
425	1839	2478
426	1840	2470
427	1842	2462
428	1843	2454
429	1845	2446
430	1847	2438
431	1848	2430
432	1850	2422
433	1852	2415
434	1853	2407
435	1855	2399
436	1856	2392
437	1858	2384
438	1860	2377
439	1861	2369
440	1863	2361
441	1865	2354
442	1866	2347
443	1868	2339
444	1870	2332
445	1871	2325
446	1873	2317
447	1875	2310
448	1876	2303
449	1878	2295
450	1880	2288
451	1881	2281
452	1883	2274
453	1885	2267
454	1886	2259
455	1888	2252
456	1889	2245
457	1891	2238
458	1893	2231
459	1894	2224
460	1896	2217
461	1898	2210
462	1899	2203
463	1901	2196
464	1903	2189
465	1904	2182
466	1906	2175
467	1908	2169
468	1909	2162
469	1911	2155
470	1913	2148
471	1914	2142
472	1916	2135
473	1918	2128
474	1919	2121
475	1921	2115
476	1923	2108
477	1924	2101
478	1926	2095
479	1927	2088
480	1929	2081
481	1931	2075
482	1932	2068
483	1934	2062
484	1936	2055
485	1937	2049
486	1939	2043
487	1941	2036
488	1942	2030
489	1944	2023
490	1945	2017
491	1947	2010
492	1949	2004
493	1951	1998
494	1952	1992
495	1954	1985
496	1956	1979
497	1957	1973
498	1959	1967
499	1960	1960
500	1962	1954
501	1963	1948
502	1965	1942
503	1967	1936
504	1969	1930
505	1970	1923
506	1972	1917
507	1973	1911
508	1975	1905
509	1977	1899
510	1978	1893
511	1980	1887
512	1982	1881
513	1983	1875
514	1985	1869
515	1987	1863
516	1988	1857
517	1990	1852
518	1992	1846
519	1993	1840
520	1995	1834
521	1997	1828
522	1998	1823
523	2000	1817
524	2002	1811
525	2003	1805
526	2005	1799
527	2007	1794
528	2008	1788
529	2010	1782
530	2012	1777
531	2013	1771
532	2015	1765
533	2016	1760
534	2018	1754
535	2020	1748
536	2021	1743
537	2023	1737
538	2024	1731
539	2026	1726
540	2028	1720
541	2029	1715
542	2031	1709
543	2032	1703
544	2034	1698
545	2036	1692
546	2037	1687
547	2039	1681
548	2040	1676
549	2042	1671
